access,tests,exam,project,assignments,Target
686,28.13,7.21,29.39,10.0,0
18,20.0,0.0,0.0,10.0,0
749,22.61,9.23,32.82,12.0,0
562,31.0,0.0,0.0,19.0,0
648,22.6,12.23,90.49,15.0,0
78,0.0,13.83,55.06,12.0,0
515,35.0,0.0,0.0,18.0,0
409,21.0,0.0,20.47,12.0,0
260,25.83,8.72,58.33,13.0,0
26,0.0,14.48,57.12,18.0,0
446,28.0,0.0,13.21,10.0,0
